3 0 0 1
4 0 0 1
4 0 0 2
5 4 0 1
5 0 4 2
5 0 0 3
6 7 2 1
6 4 2 2
6 2 0 3
6 0 1 4
7 13 -1 1
7 4 2 2
7 1 0 3
7 0 0 4
7 0 0 5
8 23 0 1
8 9 -17 2
8 4 0 3
8 0 0 4
8 0 0 5
8 0 0 5
9 29 0 1
9 11 2 2
9 0 0 3
9 0 0 4
9 0 0 5
9 0 0 6
10 31 -10 1
10 8 -6 2
10 1 0 3
10 0 0 4
10 0 0 5
10 0 0 6
11 55 0 1
11 29 -1 2
11 9 -10 3
11 0 0 4
11 0 0 5
11 0 0 6
12 66 0 1
12 29 0 2
12 4 -24 3
12 0 0 4
12 0 0 5
12 0 0 6
13 78 0 1
13 38 -13 2
13 3 -59 3
13 0 0 4
13 0 0 5
13 0 0 6
14 91 0 1
14 91 0 2
14 28 -26 3
14 6 -56 4
14 2 -81 5
14 0 0 6
15 105 0 1
15 105 0 1
15 55 -13 2
15 14 -14 3
15 2 -84 4
15 0 0 5
15 0 0 6
16 120 0 1
16 117 -4 2
16 112 -8 3
16 45 -50 4
16 22 -43 5
16 8 -86 6
17 136 0 1
17 136 0 2
17 133 -26 3
17 38 -1 4
17 14 -99 5
17 8 -117 6
18 153 0 1
18 153 0 2
18 102 -12 3
18 32 -106 4
18 8 -120 5
18 2 0 6
19 171 0 1
19 171 0 2
15 105 0 1
15 105 0 2
15 28 6 3
15 9 -78 4
15 0 0 5
15 0 0 6
16 120 0 1
16 120 0 2
16 31 4 3
16 1 -88 4
16 0 0 5
16 0 0 6
17 136 0 1
17 136 0 2
17 69 -41 3
17 33 -87 4
17 10 -89 5
17 1 0 6
18 153 0 1
18 153 0 1
18 153 0 2
18 98 -41 3
18 38 0 4
18 12 -55 5
18 5 -130 6
19 171 0 1
19 171 0 2
19 171 0 3
19 56 -92 4
19 14 -79 5
19 2 -169 6
20 190 0 1
20 190 0 2
20 190 0 3
20 62 11 4
20 21 -84 5
20 5 -175 6
21 210 0 1
21 210 0 2
21 210 0 1
21 210 0 2
21 165 3 3
21 110 9 4
21 54 -61 5
21 34 -98 6
22 231 0 1
22 231 0 1
22 231 0 2
22 231 0 3
22 124 -39 4
22 66 -55 5
22 33 -86 6
23 253 0 1
23 253 0 2
23 253 0 3
23 115 -145 4
23 54 -54 5
23 25 -128 6
24 276 0 1
24 276 0 2
24 276 0 3
24 104 -85 4
24 57 -44 5
24 17 -131 6
