3 0 0 1
4 0 0 1
4 0 0 2
5 2 0 1
5 0 1 2
5 0 0 3
6 1 8 1
6 0 1 2
6 0 0 3
6 0 0 4
7 8 -5 1
7 1 0 2
7 0 0 3
7 0 0 4
7 0 0 5
8 5 1 1
8 0 1 2
8 0 0 3
8 0 0 4
8 0 0 5
8 0 0 6
9 8 1 1
9 1 0 2
9 0 0 3
9 0 0 4
9 0 0 5
9 0 0 6
10 35 -4 1
10 29 2 2
10 7 -33 3
10 2 -33 4
10 0 0 5
10 0 0 6
11 51 -1 1
11 21 -11 2
11 1 -26 3
11 0 0 4
11 0 0 5
11 0 0 6
12 66 0 1
12 19 -3 2
12 6 -22 3
12 0 0 4
12 0 0 5
12 0 0 6
13 73 -2 1
13 41 -21 2
13 10 -2 3
13 3 0 4
13 0 0 5
13 0 0 6
14 74 -10 1
14 41 -49 2
14 24 0 3
14 7 -76 4
14 0 0 5
14 0 0 6
15 99 1 1
15 66 -13 2
15 35 1 3
15 18 -77 4
15 3 0 5
15 0 0 6
16 119 -1 1
16 117 0 2
16 30 10 3
16 8 -49 4
16 2 -110 5
16 0 0 6
17 136 0 1
17 136 0 1
17 136 0 2
17 36 -45 3
17 11 -17 4
17 2 0 5
17 0 0 6
18 153 0 1
19 171 0 1
20 190 0 1
