6 5 0 1
6 1 1 2
6 0 0 3
6 0 0 3
7 9 -3 1
7 2 -19 2
7 0 0 3
7 0 0 4
7 0 0 4
8 24 -10 1
8 1 -15 2
8 0 0 3
8 0 0 4
8 0 0 4
8 0 0 4
9 33 -4 1
9 8 -17 2
9 0 1 3
9 0 0 4
9 0 0 4
9 0 0 4
10 36 -2 1
10 8 -18 2
10 1 -44 3
10 0 0 4
10 0 0 4
10 0 0 4
11 49 -11 1
11 28 -41 2
11 8 -31 3
11 0 0 4
11 0 0 5
11 0 0 5
12 48 -14 1
12 27 -54 2
12 9 -46 3
12 2 -56 4
12 0 0 5
12 0 0 5
13 72 -6 1
13 46 -33 2
13 15 -33 3
13 7 -71 4
13 2 0 5
13 0 0 6
14 91 0 1
14 26 -19 2
14 6 -85 3
14 1 -90 4
14 0 0 5
14 0 0 5
15 102 -2 1
15 99 -39 2
15 7 -98 3
15 0 0 4
15 0 0 5
15 0 0 5
16 115 -3 1
16 79 -17 2
16 42 -71 3
16 14 -79 4
16 0 0 5
16 0 0 6
17 136 0 1
17 133 -2 2
17 63 -129 3
17 20 -65 4
17 6 -130 5
17 2 -134 6
18 153 0 1
18 153 0 1
